Date,Inflation rate,Exchange rate,Immigration,House price index,GDP,Interest rate,Close,Unemployment
2006-03-05,2.16230769230769,0.809230769230769,20.903773584905657,114.1,3.35923076923077,1.67307692307692,7820.81005859375,4.72461538461539
2006-03-12,2.16923076923077,0.806923076923077,21.12641509433962,114.525,3.24692307692308,1.69230769230769,7879.2099609375,4.72846153846154
2006-03-19,2.17615384615385,0.804615384615385,21.349056603773583,114.95,3.13461538461539,1.71153846153846,7977.0,4.73230769230769
2006-03-26,2.18307692307692,0.802307692307692,21.571698113207542,115.375,3.02230769230769,1.73076923076923,8044.5498046875,4.73615384615385
2006-04-02,2.19,0.8,21.79433962264151,115.8,2.91,1.75,8066.10009765625,4.74
2006-04-09,2.23153846153846,0.798461538461539,22.016981132075472,116.28,2.98692307692308,1.76923076923077,7919.22021484375,4.75692307692308
2006-04-16,2.27307692307692,0.796923076923077,22.23962264150943,116.76,3.06384615384615,1.78846153846154,7856.52978515625,4.77384615384615
2006-04-23,2.31461538461538,0.795384615384616,22.462264150943398,117.24,3.14076923076923,1.80769230769231,7896.77978515625,4.79076923076923
2006-04-30,2.35615384615385,0.793846153846154,22.68490566037736,117.72,3.21769230769231,1.82692307692308,7930.990234375,4.80769230769231
2006-05-07,2.39769230769231,0.792307692307692,22.90754716981132,118.2,3.29461538461538,1.84615384615385,7961.02001953125,4.82461538461538
2006-05-14,2.43923076923077,0.790769230769231,23.130188679245283,118.725,3.37153846153846,1.86538461538462,7768.7900390625,4.84153846153846
2006-05-21,2.48076923076923,0.789230769230769,23.35283018867924,119.25,3.44846153846154,1.88461538461538,7579.58984375,4.85846153846154
2006-05-28,2.52230769230769,0.787692307692308,23.575471698113205,119.775,3.52538461538462,1.90384615384615,7651.81005859375,4.87538461538462
2006-06-04,2.56384615384615,0.786153846153846,23.798113207547168,120.3,3.60230769230769,1.92307692307692,7679.02001953125,4.89230769230769
2006-06-11,2.60538461538462,0.784615384615385,24.02075471698113,120.975,3.6792307692307697,1.94230769230769,7305.81005859375,4.90923076923077
2006-06-18,2.64692307692308,0.783076923076923,24.243396226415094,121.65,3.7561538461538495,1.96153846153846,7317.72998046875,4.92615384615385
2006-06-25,2.68846153846154,0.781538461538462,24.466037735849056,122.325,3.83307692307692,1.98076923076923,7301.97021484375,4.94307692307692
2006-07-02,2.73,0.78,24.68867924528302,123.0,3.91,2.0,7516.27978515625,4.96
